Department,Term,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,SemesterLength,Building,RoomNumber,MeetingStart,MeetingDurationMinutes,MeetingEnd,ShortTitle,Faculty,SectionStatus,InstructionalMethod,DeliveryMode,Group,Comments,LastEditTimestamp
"",FA,"",,,,0, 1.2,"","","",,,Full,"","","","","","","Dr. David B. Klanderman","","EDUC 346","","","","2022-11-01T15:42:11-04:00"
"",FA,"",,,,0, 4,"","","",,,Full,"","","","","","","Dr. James Michael Turner","","CRF","","","","2022-11-02T20:37:35-04:00"
"",FA,"",,,,0, 4,"","","",,,Full,"","","","","","","Dr. Randall J Pruim","","Chair","","","","2022-11-08T12:20:32-05:00"
"",FA,"",,,,0, 4,"","","",,,Full,"","","","","","","Jenny Griffin","","Kuiper Fellowship","","","","2024-02-06T09:59:49-05:00"
"",FA,"",,,,0, 4,"","","",,,Full,"","","","","","","Dr. Stacy Lynn De Ruiter","","Research","","","","2024-02-06T12:57:01-05:00"
"",FA,"",,,,0, 12,"","","",,,Full,"","","","","","","Dr. Todd M. Kapitula","","Sabbatical","","","","2024-02-06T13:08:17-05:00"
"",FA,"",,,,0, 4,"","","",,,Full,"","","","","","","Nathan S Sunukjian","","CRF","","","","2024-02-06T13:34:28-05:00"
"",SP,"",,,,0, 0.6,"","","",,,Full,"","","","","","","Dr. David B. Klanderman","","EDUC 359","","","","2022-11-01T15:42:27-04:00"
"",SP,"",,,,0, 4,"","","",,,Full,"","","","","","","Dr. Randall J Pruim","","Chair","","","","2022-11-08T12:20:32-05:00"
"",SP,"",,,,0, 3,"","","",,,Full,"","","","","","","Dr. Randall J Pruim","","MDS Program Director","","","","2022-12-07T19:00:31-05:00"
"",SP,"",,,,0, 4,"","","",,,Full,"","","","","","","Jenny Griffin","","Kuiper Fellowship","","","","2024-02-06T10:00:24-05:00"
"",SP,"",,,,0, 4,"","","",,,Full,"","","","","","","Dr. Stacy Lynn De Ruiter","","Research","","","","2024-02-06T12:56:46-05:00"
"",SP,"",,,,0, 4,"","","",,,Full,"","","","","","","Nathan S Sunukjian","","CRF","","","","2024-02-06T13:34:41-05:00"
"Mathematics and Statistics",FA,"*",*,*,,0, 0,"Chapel
Chapel","MWF
TTH","10:30AM - 10:50AM
9:50AM - 10:10AM",,,Full,"Chapel
Chapel","
","10:30 AM
9:50 AM","20
20","10:50 AM
10:10 AM","Chapel","*","","","","","","2022-11-01T16:12:51-04:00"
"Mathematics and Statistics",SP,"*",*,*,,0, 0,"Chapel
Chapel
NH 276","MWF
TTH
TH","10:30AM - 10:50AM
9:50AM - 10:10AM
2:10PM - 3:00PM",,,Full,"Chapel
Chapel
NH","

276","10:30 AM
9:50 AM
2:10 PM","20
20
50","10:50 AM
10:10 AM
3:00 PM","Dept Meeting","*","","","","","","2022-11-02T20:47:42-04:00"
"Mathematics and Statistics",FA,"CORE",100,?,100,2, 2,"NH New Room","MWF","11:00AM - 12:05PM",,,First,"NH New","Room","11:00 AM","65","12:05 PM","","Dr. Stacy Lynn De Ruiter","","","","","Might need to cancel this section.","2024-02-06T12:58:43-05:00"
"Mathematics and Statistics",SP,"DATA",302,A,300,2, 2,"","","",,,First,"","","","","","Visualizing Data and Models","Dr. Randall J Pruim","","","In-person","","","2023-01-19T12:10:21-05:00"
"Mathematics and Statistics",SP,"DATA",385,A,300,2, 2,"NH 261","MWF","2:45PM - 3:50PM",,,Second,"NH","261","2:45 PM","65","3:50 PM","Topics in Data Science","DS Staff","","","In-person","","","2023-01-19T11:55:24-05:00"
"Mathematics and Statistics",SP,"DATA",510,A,500,2, 2,"","","",,,First,"","","","","","Ethics for Data Science","DS Staff","","","Online asynchronous","","","2023-01-19T12:08:57-05:00"
"Mathematics and Statistics",FA,"DATA",545,A,500,4, 4,"","","",,,Full,"","","","","","Applied Regression","Dr. Stacy Lynn De Ruiter","","","Online asynchronous","","","2022-12-06T14:41:08-05:00"
"Mathematics and Statistics",FA,"DATA",555,A,500,2, 2,"","","",,,First,"","","","","","Linear Algebra for Data Science","Dr. Randall J Pruim","","","Online asynchronous","","","2022-12-06T14:34:29-05:00"
"Mathematics and Statistics",FA,"DATA",640,A,600,2, 2,"","","",,,Second,"","","","","","Cause and Design","Dr. Randall J Pruim","","","Online asynchronous","","","2022-12-06T14:31:43-05:00"
"Mathematics and Statistics",FA,"DATA",642,A,600,2, 2,"","","",,,Second,"","","","","","Optimization","Dr. Christopher G. Moseley","","","Online asynchronous","","","2023-01-19T12:12:47-05:00"
"Mathematics and Statistics",SP,"DATA",647,A,600,2, 2,"","","",,,First,"","","","","","Simulation Methods","DS Staff","","","Online asynchronous","","We may not need to offer this in 23-24.  But that may depend on how many and what sorts of students enroll in the MDS program and whether they can get enough electives.
","2022-12-08T11:32:08-05:00"
"Mathematics and Statistics",FA,"EDUC",346,A,300,12, 3.6,"OFF CAMPUS","MWF","8:00AM - 11:00AM",,,Full,"OFF","CAMPUS","8:00 AM","180","11:00 AM","Internship II: Student Teaching","Dr. David B. Klanderman","","","In-person","","est. 6 interns","2024-02-06T09:54:40-05:00"
